R0,vaccine_failure,coverage,assortativity,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.16,0.98,561782.726594564,35560.6629158731,2683.40201081498,4.25858852485975,7835533.87139462,1564435.0784956,0.00158449639285026,979.777159198821,1.55491713513942
15,0.03,0.17,0,662595.298206184,4071.36869982113,2614.6541276049,16.0659470491385,7634790.04766621,1695912.56535313,0.00610705304753922,954.67558834174,5.86607891631671
15,0.03,0.17,0.3,625629.482340932,5527.73462117123,2627.30933229603,15.5673624203583,7671743.20832677,1694456.69801641,0.0058903097717273,959.296319954589,5.68403320373333
15,0.03,0.17,0.6,592546.372624251,8682.48173450243,2638.63527298663,14.4873393641213,7704814.99210276,1691303.03092613,0.00546048618208603,963.431704049245,5.28968978532479
15,0.03,0.17,0.9,562719.912352839,21237.5661358404,2648.84631188467,10.1891248966378,7734631.24133528,1678752.24473926,0.00383188759190491,967.160009626892,3.72030422788486
15,0.03,0.17,0.98,555205.426339554,37886.3317052519,2651.41888860807,4.48944481210348,7742143.15477184,1662109.17884994,0.0016903613560797,968.09932170302,1.63920853701929
15,0.03,0.18,0,662305.144957761,4361.52168630721,2580.51859240692,16.9936590231675,7535114.33644983,1795621.48465467,0.00654228252968258,942.211851052576,6.20480975083404
15,0.03,0.18,0.3,622880.791383445,5916.72486182318,2594.01546233646,16.461237542911,7574525.19315422,1794066.81390063,0.00630583584357281,947.139895685601,6.01040935785538
15,0.03,0.18,0.6,587859.854508577,9282.01096652619,2606.00484556304,15.3091369714427,7609534.14064586,1790702.6798965,0.00584025304616148,951.517519236207,5.58974863669802
15,0.03,0.18,0.9,556496.299362848,22627.0037064216,2616.74210788999,10.7404985539892,7640886.95852926,1777362.25579502,0.00408775248507748,955.437962143333,3.92162453452532
15,0.03,0.18,0.98,548625.520069474,40224.9367753334,2619.4366587091,4.71587238114185,7648755.04327182,1759770.34735229,0.00179710299811824,956.421810011162,1.72188290316442
15,0.03,0.19,0,662008.091455061,4658.57545838746,2546.38545064951,17.9190087267928,7435445.52309429,1895323.50553289,0.00698786318499448,929.748987668401,6.54267806137023
15,0.03,0.19,0.3,620089.428312876,6314.27036613401,2560.73623947979,17.3521840185627,7477349.83544764,1893668.37744985,0.00673063959343044,934.988819440059,6.3357161897777
15,0.03,0.19,0.6,583134.174409943,9893.22101357037,2573.38783496866,16.1269357183511,7514292.43775509,1890090.65205071,0.00622778286530975,939.608233242932,5.88834740416293
15,0.03,0.19,0.9,550260.326196267,24034.0242830982,2584.64213469487,11.2858526980744,7547155.03166904,1875954.6898642,0.00434752148475759,943.717459430464,4.1207469663844
15,0.03,0.19,0.98,542043.005844382,42576.6239026797,2587.45532151659,4.93782132763637,7555369.5388341,1857418.43827599,0.00190473475879467,944.744624268745,1.80292201225323
15,0.03,0.2,0,661703.887349765,4962.77915512324,2512.25473261389,18.8419104946041,7335783.85791762,1995018.37893438,0.00744416873449132,917.287009245645,6.87965256934234
15,0.03,0.2,0.3,617254.39280943,6720.65237337786,2527.47196485452,18.2401053183108,7380218.13522572,1993261.1075213,0.00716503077155636,922.843201167506,6.65991845434822
15,0.03,0.2,0.6,578368.837111817,10516.4547156145,2540.78436140763,16.9406179368219,7419090.37852678,1989466.60466645,0.00662331488867258,927.703889958962,6.1854431241821
15,0.03,0.2,0.9,544011.955032948,25458.9920878504,2552.54640815097,11.8250626340564,7453435.4985589,1974529.18284952,0.00461129082458419,931.998507276122,4.31762599425986
15,0.03,0.2,0.98,535457.881720977,44941.5416271595,2555.47487781029,5.15524079789374,7461986.64340121,1955053.30313204,0.00201327039013969,933.067764760484,1.88230729633095
15,0.03,0.21,0,661392.272465341,5274.39407155905,2478.12656241142,19.7622751179645,7236129.60097225,2094705.84365332,0.00791159110887856,904.825961100471,7.21570070244679
15,0.03,0.21,0.3,614374.653251185,7136.16447359251,2494.22298307433,19.124900862151,7283131.12376574,2092844.71062555,0.00760933294765268,910.703166695014,6.98297942729288
15,0.03,0.21,0.6,573563.34018639,11152.0685563528,2508.19468262759,17.7500621410206,7323928.46513098,2088830.18138151,0.0070270983471757,915.804583494398,6.48099143924016
15,0.03,0.21,0.9,537751.14628313,26902.2823556975,2520.45494034059,12.3579999229221,7359728.39877653,2073085.35964438,0.00487916013317444,920.28111009186,4.51221472185693
