R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.963,0.0001,369999.986445402,288899.989416527,1.03520258828191e-16,8.07108225968447e-17,0.0135546011277894,9341100.01058348,0.438095580683471,3.77978345046431e-17,2.94695391006729e-17
15,0.03,0.963,0.001,369999.985979049,288899.989058069,5.82675813144566e-14,4.54969543745348e-14,0.0140214904231351,9341100.01094471,0.438463431387586,2.1274950627441e-14,1.6612075466002e-14
15,0.03,0.963,0.01,344636.348046556,271629.365553429,8.69945444440228,5.92364938746182,25354.9524990239,9358364.7107969,0.405088376282609,3.17638830401238,2.162872482597
15,0.03,0.963,0.1,168013.827601264,206932.966437632,69.1496792630123,28.0612976598381,201917.022719473,9423038.97226471,0.288663878793322,25.2482766409074,10.2458813080484
15,0.03,0.9635,0.0001,364999.986629073,289049.989411429,1.37731476552056e-22,1.09058414885764e-22,0.0133709264099415,9345950.01058857,0.441907949512762,5.02892053760693e-23,3.98199537351646e-23
15,0.03,0.9635,0.001,364999.986629136,289049.989411479,6.32936011214541e-18,4.93853808559665e-18,0.0133708651169565,9345950.01058852,0.438283875034145,2.31100761094709e-18,1.80318371850348e-18
15,0.03,0.9635,0.01,342544.423498842,273574.4247507,7.66078994453458,5.27952960041857,22447.9157110757,9361420.29570739,0.407990666851626,2.79714592849819,1.92768824535283
15,0.03,0.9635,0.1,166358.240096157,207896.022292562,68.0046952785509,27.782936987257,198573.755208565,9427076.19477044,0.29004722561844,24.8302143635809,10.1442448674722
15,0.03,0.964,0.0001,359999.986812359,289199.989406033,1.22495946269091e-23,9.73522800461289e-24,0.0131876405235304,9350800.01059397,0.442815853817918,4.47263323815019e-24,3.55457512518428e-24
15,0.03,0.964,0.001,359999.986812234,289199.989405936,1.07893423167732e-16,8.53887323366545e-17,0.01318776788637,9350800.01059407,0.441782802524245,3.9394586134118e-17,3.1177560894421e-17
15,0.03,0.964,0.01,340418.908876799,275540.213484228,6.72191778888385,4.68920523357383,19574.3692054627,9364455.09731401,0.410932843712686,2.45434023266622,1.71214606090865
15,0.03,0.964,0.1,164691.902220017,208866.559701175,66.8634440846196,27.5020369344577,195241.234335899,9431105.93826189,0.291441707682259,24.4135150213967,10.0416812356939
15,0.03,0.9645,0.0001,354999.986995673,289349.989400662,1.45333339286036e-15,1.18278681125689e-15,0.0130043275829066,9355650.01059933,0.44868470315183,5.3064835506814e-16,4.31865034460173e-16
15,0.03,0.9645,0.001,354999.986995654,289349.989400647,2.97980137915931e-23,2.39381460227146e-23,0.0130043468650835,9355650.01059935,0.445475562552962,1.08799997856554e-23,8.74041556654367e-24
15,0.03,0.9645,0.01,338267.278373942,277532.699376658,5.73182905085347,4.04802933421477,16726.9897970148,9367463.25259392,0.413914923389407,2.09283408219287,1.47803671065517
15,0.03,0.9645,0.1,163014.681370745,209844.655934191,65.7258688203459,27.2185281790868,191919.592760435,9435128.12553762,0.29284743414122,23.9981578530288,9.93816510138907
15,0.03,0.965,0.0001,349999.987178876,289499.989395203,5.29575275068825e-24,4.38981975160079e-24,0.01282112444843,9360500.0106048,0.453232862648369,1.93361172309505e-24,1.60283293680324e-24
15,0.03,0.965,0.001,349999.987178836,289499.989395171,0,0,0.0128211650456176,9360500.01060482,NaN,0,0
15,0.03,0.965,0.01,336077.878228272,279544.492105296,4.74382424880908,3.39224367704658,13917.3779475737,9370452.11565608,0.4169389572408,1.73208882884641,1.23859297258163
15,0.03,0.965,0.1,161326.42924162,210830.383525132,64.5921144280794,26.9324255898593,188608.978643952,9439142.68404928,0.29426452823014,23.5841957805525,9.83370189349737
15,0.03,0.9655,0.0001,344999.987362027,289649.989389702,1.1228602516859e-24,9.33366129165464e-25,0.0126379735903249,9365350.0106103,0.453921872541589,4.09984349396813e-25,3.4079530791154e-25
15,0.03,0.9655,0.001,344999.987361969,289649.989389654,2.04006485727957e-17,1.68678046137443e-17,0.0126380306249868,9365350.01061035,0.452602755722535,7.44878681014204e-18,6.15885715959339e-18
15,0.03,0.9655,0.01,333881.280147318,281598.404167369,3.80197773914139,2.75318401682753,11114.9178750783,9373398.84264683,0.420002452925067,1.388197122004,1.00525631414415
15,0.03,0.9655,0.1,159627.006824455,211823.820448693,63.4621588421004,26.6436726105806,185309.531016703,9443149.5358787,0.295693099780923,23.1716207472219,9.72827096193825
