R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.86,0.09,392871.03309498,98571.9753486519,344.789101991431,54.5799468173209,1006784.17780303,8501373.44470453,0.136665440098884,125.891120864621,19.9285030816743
15,0.03,0.86,0.1,379858.751751413,98458.2866765979,349.243837158349,54.6188679690597,1019792.00441143,8501487.09445543,0.135241177943947,127.517656042442,19.9427141672029
15,0.03,0.86,0.11,367652.851735244,98403.2186471305,353.422508801279,54.6377204191366,1031993.72575595,8501542.14363245,0.133896215574647,129.043393526067,19.9495976680372
15,0.03,0.86,0.12,356183.575757989,98401.4687106717,357.348998348391,54.6383195066997,1043459.07524366,8501543.89296982,0.132621362694271,130.477053021956,19.9498164098837
15,0.03,0.86,0.13,345388.569292846,98448.4813883696,361.044652757167,54.6222247899048,1054250.3860544,8501496.89638684,0.131408653757164,131.826428837961,19.943939826414
15,0.03,0.86,0.14,335211.996825924,98540.3303256467,364.528587210932,54.5907804466986,1064423.47458687,8501405.07889391,0.130251151961301,133.098500405392,19.9324587106008
15,0.03,0.86,0.15,325603.766380918,98673.6216368588,367.817950544617,54.5451483572891,1074028.41566854,8501271.83321478,0.129142788513248,134.299529192603,19.9157972939552
15,0.03,0.86,0.16,316518.851101551,98845.4143481607,370.928157801248,54.4863353842389,1083110.22074065,8501100.09931645,0.128078230189685,135.435143617181,19.8943232071702
15,0.03,0.86,0.17,307916.69665441,99053.1546174415,373.873092558795,54.4152158115363,1091709.43025303,8500892.43016675,0.127052769706906,136.51041292053,19.8683556731872
15,0.03,0.86,0.18,299760.703956253,99294.6211146945,376.665284524966,54.3325501175072,1099862.63075922,8500651.04633519,0.126062234541336,137.529912012178,19.8381723616548
15,0.03,0.86,0.19,292017.777575984,99567.8794732526,379.316063850714,54.2390005267797,1107602.90636017,8500377.88152622,0.125102910756347,138.497777813492,19.8040150673405
15,0.03,0.86,0.2,284657.931275085,99871.2441580251,381.835696269697,54.1351440784387,1114960.23302865,8500074.6206979,0.124171479072339,139.417758600473,19.7660944816399
15,0.03,0.86,0.21,277653.943103203,100203.24641861,384.233501180161,54.0214835976283,1121961.82339562,8499742.73209779,0.123264960979324,140.293257118406,19.724594198584
15,0.03,0.86,0.22,270981.053447529,100562.607259852,386.517954993346,53.8984569454029,1128632.42859748,8499383.4942832,0.122380673118282,141.127368316946,19.6796740921902
15,0.03,0.86,0.23,264616.700289775,100948.214566417,388.696781832909,53.7664448603737,1134994.60292839,8498998.01898872,0.1215161885027,141.922912466741,19.631473179644
15,0.03,0.86,0.24,258540.286743769,101359.103687557,390.777032967281,53.6257775824545,1141068.93622326,8498587.27053486,0.120669303409936,142.682464162178,19.5801120397937
15,0.03,0.86,0.25,252732.976541194,101794.440906405,392.765156953239,53.476740532049,1146874.25830185,8498152.08235306,0.119838009011272,143.408377932552,19.5256948867644
15,0.03,0.86,0.26,247177.513827654,102253.509336399,394.667061361011,53.3195791415085,1152427.81911099,8497693.17108446,0.119020466953431,144.102810779439,19.4683113340433
15,0.03,0.86,0.27,241858.064061641,102735.69685962,396.488167065376,53.1545029608324,1157745.44777129,8497211.14863742,0.118214988265536,144.767741999746,19.4080378935739
15,0.03,0.86,0.28,236760.073298662,103240.485796,398.23345658313,52.981689216276,1162841.69324476,8496706.53251478,0.117420015062681,145.404990834915,19.3449392750928
15,0.03,0.86,0.29,231870.143490458,103767.444042569,399.907516788752,52.8012858479022,1167729.94899275,8496179.75467158,0.116634104617313,146.016232067493,19.2790694952153
