R0,vaccine_failure,coverage,assortativity,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
4,0.03,0.12,0.266673269157703,2405994.59417782,12398.9993154635,2188.97822801251,8.07976743455599,6391816.42759416,1187592.9209171,0.00367753944197176,799.250675503067,2.95012508454226
4,0.03,0.12,0.392305325416338,2368347.7117791,13858.2589574091,2201.86656329352,7.58019200473635,6429450.4216576,1186134.16085059,0.00343080999193985,803.956528922548,2.76771760572936
4,0.03,0.12,0.598779134946017,2308811.57278593,17290.1835513188,2222.24868868821,6.40527779011733,6488966.17852539,1182703.41117089,0.00287405666669681,811.398552457282,2.33872705311659
4,0.03,0.12,0.9,2226478.21880929,27963.980551925,2250.43539115832,2.75111928730442,6571271.34579955,1172033.26832879,0.00122099048372179,821.690222196681,1.00450242977703
4,0.03,0.12,0.98,2205280.80205648,33982.6575683441,2257.69226612172,0.690634126245643,6592461.50567739,1166016.65179753,0.000305809137223725,824.339888667693,0.25216778534544
4,0.03,0.13,0,2488843.11630685,11156.8829351682,2126.38029796377,9.53204961156175,6209030.50339518,1288833.58501522,0.00446275317542055,776.39460629402,3.48038961442148
4,0.03,0.13,0.266673269157703,2397372.59928638,13555.3351948688,2157.69508694753,8.71094303190296,6300469.70562667,1286435.9538621,0.00402091893733588,787.828418621718,3.18058307452357
4,0.03,0.13,0.392305325416338,2356475.52051484,15136.3624565883,2171.69613923854,8.16968070285056,6341352.78334592,1284855.46786271,0.00374779063376948,792.940552839471,2.98295466662831
4,0.03,0.13,0.598779134946017,2292033.95997404,18851.88870258,2193.7576238905,6.89767587829288,6405772.28240207,1281141.21362154,0.0031343736018165,800.995752423019,2.51851390506169
4,0.03,0.13,0.9,2203389.45975958,30371.365975412,2224.10496863001,2.95400004002506,6494386.43527179,1269625.68002455,0.00132641303242596,812.076326671034,1.07857926461415
4,0.03,0.13,0.98,2180657.12479071,36837.9258593498,2231.88733349114,0.740182824702796,6517110.9878758,1263161.33395783,0.00033152992126703,814.917862640953,0.270259253869608
4,0.03,0.14,0,2487850.03422608,12149.9652834297,2092.48544783705,10.2191149778089,6110057.48032608,1387839.81560159,0.00485998611432539,764.018749141503,3.73125435627246
4,0.03,0.14,0.266673269157703,2388616.13345495,14732.8964885699,2126.45802732824,9.3348523270547,6209257.40851773,1385257.7686591,0.00437067302544866,776.422987228222,3.40838795591584
4,0.03,0.14,0.392305325416338,2344452.32809235,16435.4357650136,2141.57743951312,8.75199053494826,6253406.09446813,1383555.81224445,0.00407006964265593,781.943462602227,3.19557054407298
4,0.03,0.14,0.598779134946017,2275118.75910209,20433.716219586,2165.3136641744,7.38318510295478,6322715.92723373,1379558.90059531,0.00339816624919876,790.610151631677,2.69578546071636
4,0.03,0.14,0.9,2180254.59694378,32791.0217513241,2197.79029291824,3.15268001029494,6417547.6127633,1367205.82556867,0.00143242239761444,802.468180701771,1.15112228875894
4,0.03,0.14,0.98,2156023.61259336,39696.8247463239,2206.08572963424,0.788488571763839,6441770.301677,1360302.3867651,0.00035728749978547,805.497052032704,0.287896889765272
4,0.03,0.15,0,2486834.4065981,13165.5939172845,2058.5983088608,10.8984616351448,6011106.99509304,1486823.50762108,0.00526623756582767,751.645707522801,3.97930080453225
4,0.03,0.15,0.266673269157703,2379722.03054574,15932.2333935779,2095.26803927077,9.95130656663519,6118182.70141499,1484057.81529986,0.00472696899081401,765.034742838741,3.63347081014267
4,0.03,0.15,0.392305325416338,2332275.225839,17755.9542415249,2111.51139881668,9.32695852556899,6165613.26276218,1482234.71879995,0.00439776963354113,770.965599492941,3.40550573164838
4,0.03,0.15,0.598779134946017,2258064.24224472,22036.0205519153,2136.9174078599,7.86168415513442,6239798.84034742,1477956.11776393,0.00366549831840645,780.241968544845,2.87049742714346
4,0.03,0.15,0.9,2157073.48495984,35223.0405431979,2171.49145133749,3.34712751817974,6340755.02358882,1464773.61232928,0.00153902342487454,792.865816169603,1.22211993507538
4,0.03,0.15,0.98,2131380.25626281,42559.3615655317,2180.28751060164,0.835548888690827,6366439.45622659,1457439.80288558,0.000383081956359708,796.077477308422,0.305079787983238
4,0.03,0.16,0,2485795.4544484,14204.5454539909,2024.71913497163,11.5698236284094,5912179.82641663,1585783.88472238,0.00568181818181821,739.275574156517,4.22443185232297
4,0.03,0.16,0.266673269157703,2370687.02912001,17153.9139530646,2064.12629040744,10.5601114874955,6027248.84458958,1582835.52593545,0.0050899796122683,753.664111785016,3.85576070687179
4,0.03,0.16,0.392305325416338,2319941.23184345,19098.4064519818,2081.49904729236,9.89441742777155,6077977.26910926,1580891.69913059,0.00473101670951986,760.007339642621,3.61269916331508
4,0.03,0.16,0.598779134946017,2240868.65958033,23659.1639057705,2108.56948115147,8.33304914200039,6157022.77093852,1576332.50304509,0.00393643496701057,769.891431805432,3.04260456797289
4,0.03,0.16,0.9,2133845.97502523,37667.5159956155,2145.2084974075,3.53731050960272,6264008.81647736,1562328.94669387,0.00164622101719496,783.269252615915,1.29156049981869
4,0.03,0.16,0.98,2106727.04823773,45425.5436225061,2154.49259069121,0.881361235122402,6291118.45917157,1554573.57501626,0.000408913374096732,786.659107176127,0.321807020974067
4,0.03,0.17,0,2484732.36714325,15267.6326173862,1990.84824152712,12.2329229298653,5813276.78461523,1684720.13445968,0.00610705304753912,726.90846418759,4.46654598476705
4,0.03,0.17,0.266673269157703,2361507.75937792,18398.5246792247,2033.03398917714,11.1610666033825,5936459.2066329,1681590.31425417,0.00545988337650145,742.311535298304,4.07518444356005
4,0.03,0.17,0.392305325416338,2307447.28712206,20463.2945768826,2051.54150230319,10.454195652999,5990501.17137564,1679526.25122746,0.00506994057425096,749.069091028454,3.81708818780127
4,0.03,0.17,0.598779134946017,2223530.22571593,25303.5163963303,2080.2703866269,8.7971529305683,6074389.50389744,1674687.68645074,0.00421104285236839,759.558724917148,3.21206046377375
4,0.03,0.17,0.9,2110571.91792382,40124.5427524547,2118.94149660346,3.72319661015797,6187309.14057958,1659871.73405094,0.00175402013424986,773.678513947337,1.35943216228393
4,0.03,0.17,0.98,2082063.98368556,48295.3782653263,2128.70112773903,0.925923159167706,6215807.3151867,1651703.69581151,0.000434781835991981,777.241999265713,0.338077693491109
4,0.03,0.18,0,2483644.29380524,16355.7063250589,1956.98588289454,12.8874680093055,5714398.72031187,1783631.40620693,0.00654228252968261,714.544470491867,4.70553675689768
4,0.03,0.18,0.266673269157703,2352180.74306049,19666.671258988,2001.99221358653,11.7539639634502,5845817.26472592,1780321.57477705,0.00583686469252578,730.977406985782,4.29166609215477
4,0.03,0.18,0.392305325416338,2294790.24954439,21851.1348160508,2021.63976962694,11.0061161511823,5903188.11068598,1778137.8590678,0.00541467465050809,738.151220885035,4.01860815970045
4,0.03,0.18,0.598779134946017,2206047.12700674,26969.4562786782,2052.02082780511,9.25386633561787,5991900.85216545,1773021.28985499,0.00448939016324337,749.24410475234,3.37881794579247
4,0.03,0.18,0.9,2087251.16376988,42594.2164709657,2092.69045305991,3.90475298996349,6110656.14577707,1757401.87877604,0.00186242579335107,764.093601673499,1.42572293546042
