R0,vaccine_failure,coverage,phi,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.886,0.13,307471.016279818,114724.533396184,285.015057756224,51.7204610070016,832243.968662426,8745223.74614281,0.153593720071356,104.066122963241,18.8844333251815
15,0.03,0.886,0.14,297313.879638826,114676.004353908,288.492338344179,51.7370748496404,842397.62802283,8745272.25857124,0.152065261977121,105.335765037918,18.8904994544749
15,0.03,0.886,0.15,287789.184546794,114686.958330602,291.753103568065,51.733324779747,851919.062349638,8745261.30834462,0.150612427479557,106.52635194029,18.8891302102051
15,0.03,0.886,0.16,278841.399181138,114752.17391223,294.816364543153,51.7109983190885,860863.784454319,8745196.11508945,0.149226306090136,107.644825103819,18.8809782612572
15,0.03,0.886,0.17,270421.064177886,114867.16504647,297.699053706141,51.6716312778782,869281.236768408,8745081.16332226,0.147899161259742,108.697366984455,18.8666043703353
15,0.03,0.886,0.18,262484.026094741,115028.064892605,300.416286833863,51.6165474483276,877215.557618425,8744920.31855995,0.146624241893731,109.689496730214,18.8464918870706
15,0.03,0.886,0.19,254990.775750044,115231.530849642,302.981589961418,51.5468911861578,884706.242659994,8744716.92225917,0.145395628072829,110.626153034663,18.8210586443459
15,0.03,0.886,0.2,247905.877034966,115474.666498087,305.407094494595,51.4636540606441,891788.715870539,8744473.86984785,0.144208104107693,111.511765377339,18.7906666888927
15,0.03,0.886,0.21,241197.473528309,115754.957135234,307.703706436224,51.3676969769959,898494.822765255,8744193.67516779,0.143057053523925,112.350315812526,18.7556303587256
15,0.03,0.886,0.22,234836.861777051,116070.216280014,309.881252370917,51.2597684737855,904853.256970577,8743878.52395151,0.141938371758184,113.145392271931,18.7162229639909
15,0.03,0.886,0.23,228798.121695717,116418.541085947,311.948606078603,51.1405200007882,910889.929698204,8743530.31839406,0.14084839321133,113.90023479445,18.6726823652878
15,0.03,0.886,0.24,223057.795874754,116798.275021878,313.913798075489,51.0105186534066,916628.29032717,8743150.71445947,0.139783830002489,114.617775522313,18.6252156233251
15,0.03,0.886,0.25,217594.610769984,117207.976509357,315.784111351169,50.8702579579808,922089.605118664,8742741.15323269,0.138741720312322,115.300673657096,18.5740029369077
15,0.03,0.886,0.26,212389.233827412,117646.392471984,317.566164378951,50.7201669031955,927293.200008208,8742302.88736111,0.137719384606589,115.951345768865,18.5192009405293
15,0.03,0.886,0.27,207424.061437027,118112.43594785,319.265983750442,50.5606176129482,932256.672579222,8741837.00343454,0.136714388382429,116.57199231688,18.4609455059277
15,0.03,0.886,0.28,202683.03343295,118605.167087693,320.88906766053,50.3919318463663,936996.07749939,8741344.44098046,0.135724510312385,117.164620829551,18.3993541154045
15,0.03,0.886,0.29,198151.470433237,119123.776978309,322.440441494392,50.2143865210437,941526.089125269,8740826.00863517,0.134747714898689,117.73106620064,18.3345278784961
15,0.03,0.886,0.3,193815.930909118,119667.573841003,323.924706956208,50.0282184689754,945860.144383925,8740282.39794053,0.133782128892543,118.273008627385,18.2665532684847
15,0.03,0.886,0.31,189664.08531291,120235.971233006,325.346085127204,49.833628470378,950010.568601963,8739714.19513853,0.132826020875504,118.79198933207,18.1955035952468
15,0.03,0.886,0.32,185684.604995035,120828.477947468,326.708454307035,49.6307846822181,953988.686550658,8739121.89126785,0.131877783500634,119.289424378856,18.1214402570949
15,0.03,0.886,0.33,181867.063964165,121444.689359878,328.015383806354,49.4198256246435,957804.920652029,8738505.8908145,0.130935917979529,119.766617012295,18.044413831198
15,0.03,0.886,0.34,178201.851809913,122084.280010036,329.270163714306,49.2008627159423,961468.878026372,8737866.51912725,0.129999020479867,120.224768526186,17.9644649991584
15,0.03,0.886,0.35,174680.096389415,122746.99725093,330.475831439279,48.973982455371,964989.427779145,8737204.02876662,0.129065770128347,120.664987954267,17.8816253440173
15,0.03,0.886,0.36,171293.595012932,123432.655814818,331.635195126998,48.7392482648759,968374.769791941,8736518.60493692,0.128134918398456,121.088300620745,17.7959180227128
15,0.03,0.886,0.37,168034.753106324,124141.133181659,332.750854812735,48.4967020954498,971632.496038863,8735810.37011625,0.127205279658039,121.4956558635,17.7073583526011
15,0.03,0.886,0.38,164896.52941143,124872.365645544,333.825221009156,48.2463657483925,974769.64536756,8735079.38798871,0.126275722719492,121.887933820968,17.6159542938818
15,0.03,0.886,0.39,161872.386934703,125626.344995247,334.860531689197,47.9882420418339,977792.752533607,8734325.66676271,0.125345163245966,122.265951633018,17.5217068755246
15,0.03,0.886,0.4,158956.248984449,126403.115742316,335.858867177194,47.7223157341158,980707.892148373,8733549.16194195,0.124412556872348,122.630468878073,17.424610532419
15,0.03,0.886,0.41,156142.459675525,127202.772834245,336.82216374064,47.4485543172798,983520.718160734,8732749.77861144,0.123476892949538,122.982192535801,17.3246533950968
15,0.03,0.886,0.42,153425.748391644,128025.459805115,337.752225809461,47.1669086586268,986236.499382547,8731927.37328623,0.122537188814492,123.321781448679,17.2218175239811
15,0.03,0.886,0.43,150801.19776017,128871.367324253,338.650736823947,46.8773134814535,988860.151503006,8731081.75536227,0.121592484500983,123.649850282844,17.1160790849157
15,0.03,0.886,0.44,148264.214750884,129740.732110425,339.519269186302,46.579687742312,991396.265979929,8730212.68820184,0.120641837814973,123.966973161649,17.0074084869117
15,0.03,0.886,0.45,145810.504525701,130633.836181082,340.359293205397,46.273934890659,993849.136181094,8729319.88988403,0.119684319732505,124.273686931621,16.8957704769519
15,0.03,0.886,0.46,143436.046776463,131551.006420547,341.172185302364,45.9599430281217,996222.781038235,8728403.03363643,0.118719010034958,124.570494158525,16.7811241981429
15,0.03,0.886,0.47,141137.074253887,132492.614446785,341.959235110627,45.6375849213343,998520.966511002,8727461.7479683,0.11774499315441,124.857865719768,16.6634231944022
15,0.03,0.886,0.48,138910.053272265,133459.076767022,342.721652418436,45.306717983847,1000747.22507532,8726495.616515,0.116761354168191,125.136243339282,16.5426154038521
15,0.03,0.886,0.49,136751.665967232,134450.855212398,343.460573101231,44.9671841104795,1002904.87345967,8725504.17760349,0.115767174913739,125.406041753587,16.4186430983388
15,0.03,0.886,0.5,134658.794148987,135468.457650644,344.177064650567,44.6188094310653,1004997.02878636,8724486.92353993,0.114761530164019,125.667650730538,16.2914427935177
15,0.03,0.886,0.51,132628.504563681,136512.438972966,344.872131266125,44.2614039802407,1007026.62330505,8723443.29962305,0.113743483846023,125.921436928544,16.1609451282854
15,0.03,0.886,0.52,130658.03543982,137583.402360861,345.546718442452,43.8947612600924,1008996.41784174,8722372.70287788,0.112712085249931,126.1677455713,16.0270747050912
15,0.03,0.886,0.53,128744.784179421,138682.000837528,346.201717152659,43.5186577062597,1010909.01410343,8721274.48050477,0.111666365203548,126.406901975364,15.8897498949981
15,0.03,0.886,0.54,126886.296089819,139808.939115394,346.837967790876,43.1328520663223,1012766.86594239,8720147.92803254,0.110605332168486,126.639212989644,15.7488826107159
15,0.03,0.886,0.55,125080.254058705,140964.975753879,347.456263593646,42.7370846450635,1014572.2896777,8718992.28716148,0.109527968218766,126.86496824463,15.6043780310288
