R0,vaccine_failure,coverage,assortativity,SU,SV,IU,IV,RU,RV,fV,incidence_U,incidence_V
15,0.03,0.08,0,664932.061524269,1734.6053778894,2921.96779200088,7.62252467478489,8532145.97068373,798257.772097436,0.002601908065915,1066.88349005432,2.78317432188083
15,0.03,0.08,0.266673269157703,650373.403745978,2277.68529882199,2926.95192454767,7.4366020666013,8546699.64432948,797714.878099111,0.00253429360125728,1068.70332145047,2.7152893295678
15,0.03,0.08,0.392305325416338,643731.692211689,2673.88415833378,2929.22570081394,7.30096396784243,8553339.0820875,797318.814877698,0.00248625835937538,1069.53353400969,2.66576446875847
15,0.03,0.08,0.598779134946017,633102.1195833,3752.7377871164,2932.86471448338,6.931620025462,8563965.01570222,796240.330592858,0.00235785722435772,1070.86222887574,2.53090776179681
15,0.03,0.08,0.9,618182.492304278,9468.69537477287,2937.97244958055,4.97477050784701,8578879.53524614,790526.329854719,0.00169040425662054,1072.7271906531,1.81641308167764
15,0.03,0.08,0.98,614307.542119958,17404.3810960961,2939.29902703592,2.25800030904719,8582753.15885301,782593.360903595,0.000767620783162328,1073.21155724649,0.824452362840855
15,0.03,0.09,0,664694.496453881,1972.17048398404,2887.81428031309,8.56824017235751,8432417.68926581,898019.261275844,0.00295825572477265,1054.41318909932,3.12847869293204
15,0.03,0.09,0.266673269157703,648197.955835351,2588.12784867522,2893.46182966045,8.35736803660272,8448908.58233499,897403.514783288,0.00288004436776602,1056.47525055477,3.05148400436457
15,0.03,0.09,0.392305325416338,640704.765193565,3037.28285629226,2896.0271430202,8.20360057702405,8456399.20766341,896954.513543131,0.00282470688498496,1057.41191059525,2.99533966068591
15,0.03,0.09,0.598779134946017,628754.666233931,4259.4210604819,2900.11822122072,7.78520332340364,8468345.21554485,895732.793736195,0.00267725649266504,1058.90566552321,2.84257236345775
15,0.03,0.09,0.9,612068.41736511,10714.656967832,2905.83073554257,5.57526293105007,8485025.75189935,889279.767769237,0.00191497267436182,1060.99144731498,2.03566787769966
15,0.03,0.09,0.98,607751.021106109,19631.4992656367,2907.30879091602,2.52259525332757,8489341.67010297,880365.97813911,0.00086692145301534,1061.53112228321,0.921062591871229
15,0.03,0.1,0,664451.827506377,2214.83942502126,2853.66249773626,9.51220832578754,8332694.50999589,997775.648366653,0.00332225913621262,1041.94351948595,3.47314506495317
15,0.03,0.1,0.266673269157703,645989.316106525,2904.86097019141,2859.98311240377,9.27598048131962,8351150.70078107,997085.863049327,0.00323288353579546,1044.25133391643,3.38689237324183
15,0.03,0.1,0.392305325416338,637640.052781192,3407.78730360909,2862.84146768873,9.10380439182019,8359497.10575112,996583.108891999,0.00316990873061625,1045.29499088985,3.32402657856335
15,0.03,0.1,0.598779134946017,624372.095743556,4775.20155552365,2867.38373777798,8.63567217375751,8372760.52051867,995216.162772303,0.00300264738960939,1046.95348725618,3.15309980244321
15,0.03,0.1,0.9,605942.320216703,11975.3544134052,2873.69314413765,6.17071056837339,8391183.98663916,988018.474876027,0.00214270912782552,1049.25720925326,2.25308069627733
15,0.03,0.1,0.98,601191.909327765,21870.4786249312,2875.3194421442,2.78312953628736,8395932.77123009,978126.738245533,0.000967001511229087,1049.8510113129,1.01619017193692
15,0.03,0.11,0,664203.88795915,2462.77846097213,2819.51253495718,10.4543723206277,8232976.59950589,1097526.76716671,0.00369416769282436,1029.47451432624,3.8171526935692
15,0.03,0.11,0.266673269157703,643746.719873239,3228.07529154462,2826.51601451285,10.1923740838496,8253426.76411225,1096761.73233437,0.00359302849909494,1032.031659799,3.7214905873656
15,0.03,0.11,0.392305325416338,634536.842400997,3785.60493864843,2829.66900367054,10.0015046468465,8262633.48859533,1096204.3935567,0.0035220651894479,1033.18289496521,3.65179938417983
15,0.03,0.11,0.598779134946017,619953.980066801,5300.32446909004,2834.66142477498,9.48294267159695,8277211.35850842,1094690.19258824,0.00333419877701587,1035.00575272096,3.46245944296684
15,0.03,0.11,0.9,599804.164231097,13251.0699013771,2841.55967486954,6.76101678998544,8297354.27609403,1086742.16908183,0.00237368524189819,1037.52447628674,2.46861625544344
15,0.03,0.11,0.98,594630.20489661,24121.4453042638,2843.33098080982,3.03955997792168,8302526.46412258,1075875.51513576,0.00106787220228905,1038.17122436819,1.10981933693865
15,0.03,0.12,0,663950.50575624,2716.16115991189,2785.36442196536,11.3946726353128,8133264.1298218,1197272.44416745,0.00407424173834314,1017.0061845701,4.16047984596859
15,0.03,0.12,0.266673269157703,641469.378761237,3557.9691487528,2793.06081016504,11.1064809570112,8155737.5604286,1196430.92437029,0.00396070555140348,1019.81632831151,4.0552538594287
15,0.03,0.12,0.392305325416338,631394.405913326,4170.95130026908,2796.50995765948,10.8966274133399,8165809.08412902,1195818.15207232,0.00388138557175083,1021.07569829042,3.97863108429574
15,0.03,0.12,0.598779134946017,615499.885787142,5835.04392433572,2801.95142098443,10.3269277708822,8181698.16279188,1194154.62914789,0.00367208593539569,1023.06251258694,3.77061950234336
15,0.03,0.12,0.9,593653.912556903,14542.0934235037,2809.43036176484,7.3460823619431,8203536.65708133,1185450.56049413,0.00260797493434749,1025.79326083939,2.68223832240447
15,0.03,0.12,0.98,588065.905922355,26384.5276667227,2811.34340779407,3.29184263359013,8209122.75066985,1173612.18049064,0.00116954501763238,1026.49176177081,1.2019340415896
15,0.03,0.13,0,663691.497664805,2975.16878263533,2751.21825348918,12.3330473432273,8033557.28408171,1297012.49817002,0.00446275317542053,1004.53856480524,4.50310391119588
15,0.03,0.13,0.266673269157703,639156.481570504,3894.7489843905,2759.6177748261,12.0182304073975,8058083.90065467,1296093.2327852,0.00433615034034204,1007.60544003338,4.38815637750101
15,0.03,0.13,0.392305325416338,628211.9953919,4564.05041429329,2763.364597793,11.7890960351839,8069024.64001031,1295424.16048967,0.00424808761453549,1008.97349876917,4.30449368984654
15,0.03,0.13,0.598779134946017,611009.369509126,6379.62336866062,2769.25389660442,11.1675373603456,8086221.37659427,1293609.20909398,0.00401649089016737,1011.12382899769,4.07754707869618
15,0.03,0.13,0.9,587491.528215225,15848.723084743,2777.30519405314,7.92580517692882,8109731.16659072,1284143.35111008,0.00284565451810631,1014.06355897865,2.89390961522614
15,0.03,0.13,0.98,581499.010511644,28659.8563743067,2779.35672369221,3.53993277274104,8115721.63276466,1271336.60369292,0.00127203170283647,1014.81262373812,1.29251795364707
15,0.03,0.14,0,663426.676096532,3239.99074372725,2717.07406786965,13.2694314942471,7933856.2498356,1396746.73982478,0.00485998611432539,992.071669030906,4.84500117433698
